,Pts,FPI
755,27.0,1.0
756,27.0,1.0
757,26.0,1.0
758,17.0,1.0
759,20.0,1.0
760,20.0,1.0
761,27.0,1.0
762,20.0,-7.3
763,23.0,-7.3
764,17.0,-7.3
765,34.0,-7.3
766,38.0,-7.3
767,31.0,-10.3
768,26.0,-10.3
769,20.0,-10.3
770,22.0,-10.3
771,23.0,-5.0
772,27.0,-5.0
773,17.0,-5.0
774,33.0,-5.0
775,20.0,-5.0
776,31.0,-3.7
777,20.0,-3.7
778,24.0,-3.7
779,20.0,-3.7
780,30.0,-3.7
781,26.0,-3.7
782,31.0,-3.7
783,27.0,6.1
784,17.0,6.1
785,21.0,6.1
786,54.0,6.1
787,28.0,6.1
788,19.0,6.1
789,30.0,6.1
790,14.0,6.1
791,30.0,6.1
792,23.0,-2.6
793,12.0,-2.6
794,18.0,-2.6
795,31.0,-3.0
796,15.0,-3.0
797,26.0,-3.0
798,25.0,-3.0
799,44.0,-3.0
800,34.0,-3.0
801,21.0,4.2
802,21.0,4.2
803,37.0,4.2
804,42.0,4.2
805,29.0,4.2
806,38.0,4.2
807,27.0,4.2
808,24.0,4.2
809,23.0,4.2
810,28.0,4.2
811,33.0,4.2
812,24.0,2.8
813,20.0,2.8
814,26.0,2.8
815,40.0,2.8
816,27.0,2.8
817,22.0,2.8
818,31.0,2.8
819,13.0,2.8
820,29.0,2.8
821,27.0,2.8
822,36.0,2.8
823,23.0,6.8
824,31.0,6.8
825,29.0,6.8
826,26.0,6.8
827,38.0,6.8
828,20.0,6.8
829,25.0,6.8
830,20.0,6.8
831,45.0,6.8
832,33.0,6.8
833,26.0,6.8
834,29.0,6.8
835,23.0,6.8
836,16.0,2.6
837,18.0,2.6
838,20.0,2.6
839,34.0,2.6
840,24.0,2.6
841,25.0,2.6
842,28.0,2.6
843,30.0,2.6
844,32.0,2.6
845,24.0,2.6
846,31.0,8.5
847,38.0,8.5
848,42.0,8.5
849,38.0,8.5
850,27.0,8.5
851,30.0,8.5
852,45.0,8.5
853,30.0,8.5
854,37.0,8.5
855,26.0,8.5
856,40.0,8.5
857,27.0,8.5
858,35.0,8.5
859,30.0,7.4
860,26.0,7.4
861,33.0,7.4
862,34.0,7.4
863,35.0,7.4
864,38.0,7.4
865,33.0,7.4
866,23.0,7.4
867,39.0,7.4
868,29.0,7.4
869,36.0,7.4
870,54.0,7.4
871,30.0,7.4
872,31.0,7.4
873,48.0,7.4
874,41.0,6.9
875,37.0,6.9
876,13.0,6.9
877,27.0,6.9
878,38.0,6.9
879,38.0,6.9
880,43.0,6.9
881,38.0,6.9
882,25.0,6.9
883,31.0,6.9
884,27.0,6.9
885,24.0,6.9
886,24.0,6.9
887,38.0,6.9
888,20.0,7.9
889,21.0,7.9
890,43.0,7.9
891,33.0,7.9
892,43.0,7.9
893,24.0,7.9
894,30.0,7.9
895,45.0,7.9
896,51.0,7.9
897,48.0,7.9
898,31.0,7.9
899,28.0,7.9
900,12.0,7.9
901,31.0,7.9
902,48.0,-1.3
903,27.0,-1.3
904,26.0,-1.3
905,27.0,-1.3
906,24.0,-1.3
907,24.0,2.7
908,29.0,2.7
909,23.0,2.7
910,27.0,2.7
911,37.0,2.7
912,24.0,2.7
913,24.0,2.7
914,41.0,2.7
915,27.0,2.7
916,27.0,-8.3
917,20.0,-8.3
918,28.0,-8.3
919,31.0,-8.3
920,13.0,-8.3
921,21.0,-8.3
922,34.0,-8.3
923,20.0,-2.1
924,31.0,-2.1
925,31.0,-2.1
926,6.0,-2.1
927,17.0,-2.1
928,21.0,5.5
929,30.0,5.5
930,41.0,5.5
931,28.0,5.5
932,33.0,5.5
933,23.0,5.5
934,52.0,5.5
935,20.0,5.5
936,17.0,5.5
937,16.0,5.5
938,34.0,-5.1
939,34.0,-5.1
940,37.0,-5.1
941,27.0,-5.1
942,37.0,-5.1
943,30.0,-5.1
944,47.0,2.6
945,27.0,2.6
946,26.0,2.6
947,21.0,2.6
948,24.0,2.6
949,34.0,2.6
950,26.0,2.6
951,20.0,2.6
952,22.0,2.6
953,26.0,2.6
954,16.0,-1.6
955,31.0,-1.6
956,33.0,-1.6
957,21.0,-1.6
958,36.0,-1.6
959,42.0,-1.6
960,33.0,-1.6
961,24.0,-5.8
962,31.0,-5.8
963,23.0,-5.8
964,20.0,-5.8
965,20.0,-5.8
966,16.0,-5.8
967,16.0,-5.8
968,27.0,-0.6
969,20.0,-0.6
970,45.0,-0.6
971,23.0,-0.6
972,24.0,-0.6
973,24.0,-0.6
974,24.0,2.2
975,22.0,2.2
976,33.0,2.2
977,31.0,2.2
978,34.0,2.2
979,44.0,2.2
980,48.0,-8.5
981,34.0,-8.5
982,42.0,-8.5
983,27.0,-8.5
984,31.0,2.7
985,34.0,2.7
986,23.0,2.7
987,38.0,2.7
988,40.0,2.7
989,24.0,2.7
990,34.0,2.7
991,20.0,-2.8
992,9.0,-2.8
993,26.0,-2.8
994,28.0,-2.8
995,34.0,-2.8
996,26.0,-2.8
997,30.0,-2.8
998,17.0,-2.8
999,25.0,-2.8
1000,30.0,-5.8
1001,34.0,-5.8
1002,20.0,-5.8
1003,26.0,-5.8
1004,24.0,4.9
1005,16.0,4.9
1006,48.0,4.9
1007,24.0,4.9
1008,41.0,4.9
1009,34.0,4.9
1010,25.0,4.9
1011,23.0,4.9
1012,15.0,4.9
1013,24.0,4.9
1014,14.0,4.9
1015,24.0,4.9
1016,21.0,-4.0
1017,12.0,-4.0
1018,28.0,-4.0
1019,35.0,-4.0
1020,26.0,-4.0
1021,17.0,-4.0
1022,26.0,-4.0
1023,27.0,-1.3
1024,27.0,-1.3
1025,38.0,-1.3
1026,30.0,-1.3
1027,40.0,-1.3
1028,27.0,-4.2
1029,13.0,-4.2
1030,41.0,-4.2
1031,24.0,-4.2
1032,14.0,-4.2
1033,42.0,-4.2
1034,24.0,4.2
1035,20.0,4.2
1036,27.0,4.2
1037,28.0,4.2
1038,27.0,4.2
1039,30.0,4.2
1040,43.0,4.2
1041,21.0,4.2
1042,38.0,4.2
1043,27.0,4.2
1044,26.0,-3.0
1045,31.0,-3.0
1046,32.0,-3.0
1047,20.0,-3.0
1048,17.0,-3.0
1049,31.0,-3.0
1050,37.0,2.9
1051,19.0,2.9
1052,20.0,2.9
1053,20.0,2.9
1054,42.0,2.9
1055,19.0,2.9
1056,23.0,2.9
1057,34.0,2.9
1058,29.0,2.9
1059,29.0,2.9
1060,20.0,2.9
1061,45.0,-7.6
1062,23.0,-7.6
1063,24.0,-7.6
1064,27.0,-7.6
1065,28.0,-12.9
1066,18.0,-12.9
1067,20.0,-12.9
1068,22.0,2.4
1069,13.0,2.4
1070,27.0,2.4
1071,53.0,2.4
1072,31.0,2.4
1073,27.0,2.4
1074,26.0,2.4
1075,20.0,2.4
1076,28.0,2.4
1077,24.0,2.4
1078,23.0,2.4
1079,20.0,4.7
1080,28.0,4.7
1081,43.0,4.7
1082,24.0,4.7
1083,23.0,4.7
1084,27.0,4.7
1085,35.0,4.7
1086,42.0,4.7
1087,31.0,4.7
1088,42.0,4.7
1089,35.0,4.7
1090,26.0,6.2
1091,28.0,6.2
1092,34.0,6.2
1093,28.0,6.2
1094,38.0,6.2
1095,42.0,6.2
1096,19.0,6.2
1097,28.0,6.2
1098,27.0,6.2
1099,20.0,6.2
1100,39.0,6.2
1101,17.0,2.9
1102,21.0,2.9
1103,28.0,2.9
1104,27.0,2.9
1105,30.0,2.9
1106,32.0,2.9
1107,27.0,2.9
1108,40.0,2.9
1109,27.0,2.9
1110,17.0,2.9
1111,37.0,2.9
1112,30.0,2.9
1113,27.0,7.5
1114,37.0,7.5
1115,31.0,7.5
1116,41.0,7.5
1117,24.0,7.5
1118,31.0,7.5
1119,20.0,7.5
1120,9.0,7.5
1121,51.0,7.5
1122,28.0,7.5
1123,36.0,7.5
1124,37.0,7.5
1125,48.0,7.5
1126,34.0,7.5
1127,26.0,7.5
1128,51.0,12.2
1129,35.0,12.2
1130,31.0,12.2
1131,40.0,12.2
1132,28.0,12.2
1133,33.0,12.2
1134,34.0,12.2
1135,30.0,12.2
1136,26.0,12.2
1137,24.0,12.2
1138,40.0,12.2
1139,23.0,12.2
1140,23.0,12.2
1141,26.0,12.2
1142,31.0,12.2
1143,28.0,3.4
1144,10.0,3.4
1145,21.0,3.4
1146,27.0,3.4
1147,34.0,3.4
1148,23.0,3.4
1149,42.0,3.4
1150,31.0,3.4
1151,24.0,3.4
1152,31.0,3.4
1153,20.0,3.4
1154,21.0,3.4
1155,23.0,3.4
1156,23.0,3.4
1157,32.0,1.6
1158,34.0,1.6
1159,31.0,1.6
1160,31.0,1.6
1161,22.0,1.6
1162,23.0,1.6
1163,37.0,1.6
1164,17.0,1.6
1165,34.0,1.6
1166,30.0,3.5
1167,27.0,3.5
1168,20.0,3.5
1169,37.0,3.5
1170,24.0,3.5
1171,17.0,3.5
1172,34.0,3.5
1173,28.0,3.5
1174,31.0,3.5
1175,17.0,-1.0
1176,28.0,-1.0
1177,21.0,-1.0
1178,14.0,-1.0
1179,31.0,-1.0
1180,24.0,-1.0
1181,37.0,-1.0
1182,20.0,-1.0
1183,26.0,-1.0
1184,17.0,-1.0
1185,59.0,9.6
1186,23.0,9.6
1187,26.0,9.6
1188,23.0,9.6
1189,30.0,9.6
1190,37.0,9.6
1191,49.0,9.6
1192,41.0,9.6
1193,45.0,9.6
1194,20.0,9.6
1195,24.0,9.6
1196,42.0,9.6
1197,31.0,9.6
1198,28.0,9.6
1199,30.0,0.5
1200,30.0,0.5
1201,17.0,0.5
1202,26.0,0.5
1203,45.0,0.5
1204,35.0,6.1
1205,31.0,6.1
1206,31.0,6.1
1207,37.0,6.1
1208,37.0,6.1
1209,35.0,6.1
1210,44.0,6.1
1211,47.0,6.1
1212,27.0,-5.6
1213,13.0,-5.6
1214,27.0,-5.6
1215,31.0,-5.6
1216,33.0,7.5
1217,43.0,7.5
1218,30.0,7.5
1219,16.0,7.5
1220,33.0,7.5
1221,35.0,7.5
1222,33.0,7.5
1223,27.0,7.5
1224,17.0,7.5
1225,13.0,7.5
1226,34.0,7.5
1227,24.0,7.5
1228,30.0,7.8
1229,33.0,7.8
1230,12.0,7.8
1231,31.0,7.8
1232,13.0,7.8
1233,36.0,7.8
1234,31.0,7.8
1235,34.0,7.8
1236,34.0,7.8
1237,26.0,7.8
1238,34.0,7.8
1239,38.0,7.8
1240,42.0,7.8
1241,24.0,-3.7
1242,31.0,-3.7
1243,24.0,-3.7
1244,31.0,-3.7
1245,26.0,-3.7
1246,17.0,-3.7
1247,24.0,-3.7
1248,20.0,1.9
1249,55.0,1.9
1250,30.0,1.9
1251,35.0,1.9
1252,28.0,1.9
1253,38.0,1.9
1254,38.0,1.9
1255,19.0,0.3
1256,27.0,0.3
1257,19.0,0.3
1258,30.0,0.3
1259,15.0,0.3
1260,33.0,0.3
1261,38.0,0.3
1262,16.0,-0.6
1263,31.0,-0.6
1264,16.0,-0.6
1265,20.0,-0.6
1266,19.0,-0.6
1267,24.0,-0.6
1268,31.0,-0.6
1269,21.0,-0.6
1270,24.0,1.2
1271,26.0,1.2
1272,29.0,1.2
1273,40.0,1.2
1274,29.0,1.2
1275,24.0,1.2
1276,28.0,1.2
1277,23.0,-2.2
1278,40.0,-2.2
1279,19.0,-2.2
1280,21.0,-2.2
1281,41.0,-2.2
1282,27.0,-2.2
1283,20.0,-5.7
1284,26.0,-5.7
1285,27.0,-5.7
1286,29.0,-5.7
1287,20.0,-5.7
1288,38.0,-5.7
1289,38.0,-7.0
1290,16.0,-7.0
1291,34.0,-7.0
1292,37.0,-7.0
1293,30.0,-7.0
1294,32.0,-8.7
1295,24.0,-8.7
1296,36.0,-8.7
1297,41.0,-8.7
1298,27.0,-3.8
1299,24.0,-3.8
1300,27.0,-3.8
1301,26.0,-3.8
1302,17.0,-3.8
1303,16.0,-3.8
1304,20.0,-3.8
1305,23.0,-3.8
1306,26.0,-3.3
1307,34.0,-3.3
1308,27.0,-3.3
1309,38.0,-3.3
1310,27.0,-3.3
1311,20.0,-3.5
1312,16.0,-3.5
1313,24.0,-3.5
1314,23.0,-3.5
1315,38.0,-3.5
1316,27.0,-3.5
1317,16.0,-3.5
1318,17.0,-9.9
1319,19.0,-9.9
1320,29.0,-9.9
1321,24.0,-6.5
1322,34.0,-6.5
1323,34.0,-6.5
1324,34.0,-6.5
1325,22.0,-6.5
1326,16.0,-6.5
1327,13.0,-6.5
1328,26.0,-9.8
1329,16.0,-9.8
1330,37.0,-9.8
1331,38.0,-9.8
1332,27.0,-9.8
1333,22.0,-8.0
1334,33.0,-8.0
1335,,-2.9
1336,16.0,-2.9
1337,39.0,-2.9
1338,,-4.2
1339,27.0,-4.2
1340,25.0,-4.2
1341,,4.7
1342,43.0,4.7
1343,42.0,4.7
1344,37.0,4.7
1345,30.0,4.7
1346,35.0,4.7
1347,34.0,4.7
1348,,-0.5
1349,31.0,-0.5
1350,43.0,-0.5
1351,24.0,-0.5
1352,28.0,-0.5
1353,34.0,-0.5
1354,,6.7
1355,38.0,6.7
1356,33.0,6.7
1357,31.0,6.7
1358,27.0,6.7
1359,30.0,6.7
1360,24.0,6.7
1361,,-7.8
1362,40.0,-7.8
1363,37.0,-7.8
1364,,4.6
1365,26.0,4.6
1366,26.0,4.6
1367,28.0,4.6
1368,38.0,4.6
1369,38.0,4.6
1370,27.0,4.6
1371,28.0,4.6
1372,24.0,4.6
1373,,-0.6
1374,40.0,-0.6
1375,25.0,-0.6
1376,34.0,-0.6
1377,,-8.8
1378,27.0,-8.8
1379,,5.5
1380,34.0,5.5
1381,35.0,5.5
1382,30.0,5.5
1383,27.0,5.5
1384,26.0,5.5
1385,38.0,5.5
1386,,-9.0
1387,,1.9
1388,31.0,1.9
1389,28.0,1.9
1390,34.0,1.9
1391,,2.5
1392,24.0,2.5
1393,30.0,2.5
1394,30.0,2.5
1395,38.0,2.5
1396,37.0,2.5
1397,,4.7
1398,38.0,4.7
1399,35.0,4.7
1400,38.0,4.7
1401,31.0,4.7
1402,27.0,4.7
1403,37.0,4.7
1404,,-0.2
1405,34.0,-0.2
1406,34.0,-0.2
1407,40.0,-0.2
1408,16.0,-0.2
1409,31.0,-0.2
1410,34.0,10.3
1411,23.0,10.3
1412,34.0,10.3
1413,26.0,10.3
1414,26.0,10.3
1415,43.0,10.3
1416,35.0,10.3
1417,33.0,10.3
1418,21.0,-0.1
1419,36.0,-0.1
1420,30.0,-0.1
1421,27.0,-2.1
1422,17.0,-2.1
1423,30.0,-2.1
1424,20.0,-2.1
1425,23.0,-2.1
1426,27.0,1.9
1427,31.0,1.9
1428,35.0,1.9
1429,30.0,1.9
1430,18.0,1.9
1431,24.0,1.9
1432,44.0,1.9
1433,20.0,3.8
1434,37.0,3.8
1435,17.0,3.8
1436,30.0,3.8
1437,24.0,3.8
1438,35.0,-1.5
1439,34.0,-1.5
1440,49.0,-1.5
1441,32.0,-1.5
1442,37.0,-1.5
1443,31.0,3.7
1444,36.0,3.7
1445,24.0,3.7
1446,33.0,3.7
1447,28.0,0.5
1448,36.0,0.5
1449,19.0,0.5
1450,31.0,0.5
1451,41.0,0.5
1452,23.0,-0.9
1453,25.0,-0.9
1454,22.0,-0.9
1455,23.0,-0.9
1456,21.0,-0.6
1457,31.0,-0.6
1458,23.0,-0.6
1459,26.0,-4.7
1460,34.0,-4.7
1461,23.0,-4.7
1462,37.0,-2.7
1463,18.0,-2.7
1464,31.0,-2.7
1465,33.0,-3.6
1466,31.0,-3.6
1467,30.0,-2.4
1468,27.0,-2.4
1469,20.0,-5.4
1470,23.0,-5.4
